r,parity_prefix_int,parity_prefix_bin,popcount
5119,996351,11110011001111111111,16
5147,323323,01001110111011111011,14
5151,479071,01110100111101011111,14
5279,365535,01011001001111011111,13
5351,974199,11101101110101110111,15
5359,40943,00001001111111101111,13
5403,364027,01011000110111111011,13
5447,883671,11010111101111010111,15
5479,652791,10011111010111110111,15
5503,1027199,11111010110001111111,15
5535,933599,11100011111011011111,15
5567,708543,10101100111110111111,15
5659,439547,01101011010011111011,13
5735,584951,10001110110011110111,13
5759,386943,01011110011101111111,15
5791,171487,00101001110111011111,13
5887,210687,00110011011011111111,14
5915,815099,11000110111111111011,15
5991,370679,01011010011111110111,14
6015,322175,01001110101001111111,13
6111,260511,00111111100110011111,14
6143,1017855,11111000011111111111,16
6171,914171,11011111001011111011,15
6191,783791,10111111010110101111,15
6271,772479,10111100100101111111,14
6303,335839,01010001111111011111,14
6311,518071,01111110011110110111,15
6351,261583,00111111110111001111,15
6383,871407,11010100101111101111,14
6395,735195,10110011011111011011,14
6427,709115,10101101000111111011,13
6463,292671,01000111011100111111,13
6471,524247,01111111111111010111,17
6591,711615,10101101101110111111,15
6623,667551,10100010111110011111,13
6655,495103,01111000110111111111,15
6811,1005435,11110101011101111011,15
6823,1031607,11111011110110110111,16
6863,244687,00111011101111001111,14
6887,778103,10111101111101110111,16
6895,341487,01010011010111101111,13
6911,783103,10111111001011111111,16
6939,818171,11000111101111111011,15
6943,769631,10111011111001011111,15
7039,413311,01100100111001111111,13
7135,751007,10110111010110011111,14
7151,437487,01101010110011101111,13
7167,687103,10100111101111111111,16
7195,616187,10010110011011111011,13
7279,1039215,11111101101101101111,16
7295,912767,11011110110101111111,16
7323,519547,01111110110101111011,15
7327,707551,10101100101111011111,14
7335,424887,01100111101110110111,14
7359,515263,01111101110010111111,15
7407,59375,00001110011111101111,13
7423,736511,10110011110011111111,15
7527,896503,11011010110111110111,15
7579,457339,01101111101001111011,14
7647,242591,00111011001110011111,13
7663,912111,11011110101011101111,15
7679,498175,01111001100111111111,15
7727,763823,10111010011110101111,14
7807,102271,00011000111101111111,13
7839,177631,00101011010111011111,13
7887,114639,00011011111111001111,14
7919,707055,10101100100111101111,13
7935,425727,01100111111011111111,16
7963,874491,11010101011111111011,15
8027,487099,01110110111010111011,14
8127,211391,00110011100110111111,13
8175,514287,01111101100011101111,14
8191,1007615,11110101111111111111,18
8219,326395,01001111101011111011,14
8223,482143,01110101101101011111,14
8239,196015,00101111110110101111,14
8255,1037887,11111101011000111111,15
